Parameter,Type,Min,Max,Default,Description,Example
Adherence_Config,json object,NA,NA,NA,"Configuration for the probability of taking a dose of the specified anti-malarial. Use a waning effect class, [Waning effect classes](parameter-campaign-waningeffects.md), to specify how this probability changes over time. ",[link](../json/campaign-adherentdrug-adherence-config.json)
Cost_To_Consumer,float,0,99999,10,The unit cost per drug (unamortized).,[link](../json/campaign-adherentdrug-cost-to-consumer.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-adherentdrug-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-adherentdrug-dont-allow-duplicates.json)
Dose_Interval,float,0,1000,1,"The number of days to wait between the doses, defined in the **Doses** parameter.",[link](../json/campaign-adherentdrug-dose-interval.json)
Doses,array of strings,NA,NA,[],"This is a two dimensional array of the drug names defined in the config. parameter **Malaria_Drug_Params**. Each inner array defines the drugs to be taken for a single dose. The number of doses is determined by the number of inner arrays. An empty dose is allowed and counts as if the person did not take any doses that day. If multiple pills of the same drug are taken in the same dose, that drug name can be specified multiple times.",[link](../json/campaign-adherentdrug-doses.json)
Intervention_Name,string,NA,NA,AdherentDrug,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-adherentdrug-intervention-name.json)
Max_Dose_Consideration_Duration,float,1.0/24.0 (1hr),3.40E+038,3.40E+038,The maximum number of days that an individual will consider taking the doses of the drug.,[link](../json/campaign-adherentdrug-max-dose-consideration-duration.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-adherentdrug-new-property-value.json)
Non_Adherence_Distribution,array of floats,0,1,0,The non adherence probability value(s) assigned to the corresponding options in **Non_Adherence_Options**. The sum of non adherence distribution values must equal a total of 1.,[link](../json/campaign-adherentdrug-non-adherence-distribution.json)
Non_Adherence_Options,array of strings,NA,NA,NEXT_UPDATE,"Defines the action the person takes if they do not take a particular dose, are not adherent.<br>Possible values are:<br>NEXT_UPDATE<br>    The person does not take the dose during this update, but will consider taking during the next update (and may not take the dose then). If this person is infected, the time to the next update depends on **Infection_Updates_Per_Timestep**.<br>LOST_TAKE_NEXT<br>    The person lost the dose and so takes the next dose in the pill pack (so the total number of pills is reduced).<br>NEXT_DOSAGE_TIME<br>    The person missed a dose and waits until the next dosage time to take the pill, in order to remain on the prescribed dosage schedule.<br>STOP<br>    The person decides to stop taking the pills (or has lost the pill pack). Pills taken prior to STOP will have an effect, no remaining pills will be taken.",[link](../json/campaign-adherentdrug-non-adherence-options.json)
Took_Dose_Event,string,NA,NA,"""""",This event is broadcast each time a person takes a dose from the pill pack.,[link](../json/campaign-adherentdrug-took-dose-event.json)
