AdherentDrug,Malaria,Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-adherentdrug.html
AnimalFeedKill,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-animalfeedkill.html
AntiMalarialDrug,Malaria,Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-antimalarialdrug.html
ArtificialDiet,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-artificialdiet.html
BirthTriggeredIV,"Generic, Malaria, Vector, STI, HIV",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-birthtriggerediv.html
BitingRisk,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-bitingrisk.html
BroadcastCoordinatorEvent,"Generic, HIV, Malaria, STI, Vector",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-broadcastcoordinatorevent.html
BroadcastEvent,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-broadcastevent.html
BroadcastEventToOtherNodes,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-broadcasteventtoothernodes.html
BroadcastNodeEvent,"Generic, Malaria, Vector, STI, HIV",None,Node,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-node-broadcastnodeevent.html
CalendarEventCoordinator,"Generic, Malaria, Vector, STI, HIV",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-calendareventcoordinator.html
CampaignEvent,"Generic, Malaria, Vector, STI, HIV",Campaign Event,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-campaignevent.html
CommunityHealthWorkerEventCoordinator,"Generic, Malaria, Vector, STI, HIV",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-communityhealthworkereventcoordinator.html
ControlledVaccine,"Generic, Malaria, Vector, STI, HIV",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-individual-controlledvaccine.html
