Parameter,Type,Min,Max,Default,Description
Coverage_By_Node,array of JSON objects,NA,NA,[],"An array of JSON objects each containing a **Node_Id** (integer) and **Coverage** (float) pair that configures the demographic coverage of interventions by node for the targeted populations. The coverage value must be a float between 0 and 1. See **idmType:NodeIdAndCoverage** for individual element details. See [example](../json/campaign-coveragebynodeeventcoordinator-coverage-by-node.json)."
"Coverage_By_Node.Coverage",float,0,1,0,"Located within **Coverage_By_Node**. The percentage of people in the node that should be randomly selected to receive the intervention. The value must be a float between 0 and 1."
"Coverage_By_Node.Node_Id",integer,0,999999,0,"Located within **Coverage_By_Node**. The ID of the node specified in the demographics to which this coverage applies."
Intervention_Config,JSON object,NA,NA,NA,The nested JSON of the intervention to be distributed by this event coordinator. See [example](../json/campaign-coveragebynodeeventcoordinator-intervention-config.json).
Node_Property_Restrictions,array of JSON objects,NA,NA,[],"A list of the **NodeProperty** key:value pairs that the node in which the individual is currently located must have in order to be targeted for the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. You can specify AND and OR combinations of key:value pairs with this parameter. See [example](../json/common-node-property-restrictions.json)."
Number_Repetitions,integer,-1,10000,1,"The number of times an intervention is given, used with **Timesteps_Between_Repetitions**. A value of -1 implies an infinite number of repetitions."
Property_Restrictions,array of strings,NA,NA,[],"A list of the **IndividualProperty** key:value pairs that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. To specify AND and OR combinations of key:value pairs use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator. See [example](../json/common-property-restrictions.json)."
Property_Restrictions_Within_Node,array of JSON objects,NA,NA,[],"A list of JSON objects where each object has Individual Property (IP) Keys as JSON keys and IP Values as JSON values. The values in the object are AND'd together while the objects are OR'd together. An individual's IP values must meet the logic in order to receive the intervention. You may specify individual property restrictions using either this parameter or **Property_Restrictions** but not both. See [example](../json/common-property-restrictions-within-node.json)."
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,"The age in years of an individual being considered must be less than or equal to this value in order to be selected. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Age_Min,float,0,9.3228e+35,0,"The age in years of an individual being considered must be greater than or equal to this value in order to be selected. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Demographic,enum,NA,NA,Everyone,"The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState"
Target_Gender,enum,NA,NA,All,"Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All"
Target_Residents_Only,boolean,0,1,0,"When set to true (1), only individuals that currently reside in their 'home' node will be selected. The 'home' node is either the one they began the simulation in or the one set by the **MigrateIndividuals** or **MigrateFamily** interventions."
Targeting_Config,JSON object,NA,NA,NA,"Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md). See [example](../json/common-targeting-config.json)."
Timesteps_Between_Repetitions,integer,-1,10000,-1,"The number of time steps — not days — between repetitions. If the **Simulation_Timestep** is set to 30 days and **Timesteps_Between_Repetitions** is set to 4 then there will be 120 days between repetitions."
