Parameter,Type,Min,Max,Default,Description
Action_List,array of json objects,NA,NA,[],"An array specifying a list of possible actions (JSON objects with parameters **Threshold**, **Event_Type**, **Event_To_Broadcast**) to take if a particular threshold is met. An action is taken when the specified threshold value is less than the number of incidents counted. If there are multiple actions listed, then the action with the highest threshold value, that is also less than the number of incidents counted, is selected. The list cannot be empty. See [example](../json/campaign-incidenceeventcoordinator-action-list.json)."
Coordinator_Name,string,NA,NA,"""""","The name of the event coordinator, which is useful in output reports such as ReportCoordinatorEventRecorder.csv and ReportSurveillanceEventRecorder.csv. EMOD does not ensure that this name is unique. It is up to the user."
Count_Events_For_Num_Timesteps,integer,1,2147480000,1,"The number of simulation timesteps over which to count events before notifying the **Responder** with the accumulated count. Located within **Incidence_Counter**."
Demographic_Coverage,float,0,1,1,"The fraction of individuals in the target demographic whose events are counted. Located within **Incidence_Counter**."
Event_To_Broadcast,string,NA,NA,"""""","The action event to broadcast when the specified **Threshold** is met. At least one action must define an **Event_To_Broadcast**. Can be a built-in event (see [Event list](parameter-campaign-event-list.md)) or a custom event defined in **Custom_Individual_Events**, **Custom_Node_Events**, or **Custom_Coordinator_Events** depending on **Event_Type**. Located within each object in **Action_List**."
Event_Type,enum,NA,NA,INDIVIDUAL,"The type of event to be broadcast. Possible values are:<br>* INDIVIDUAL -- broadcast to individuals in the nodes<br>* NODE -- broadcast as a node-level event<br>* COORDINATOR -- broadcast as a coordinator-level event<br>Located within each object in **Action_List**."
Incidence_Counter,json object,NA,NA,NA,"A JSON object specifying the conditions and parameters that must be met for an incidence to be counted. Contains the following parameters: **Count_Events_For_Num_Timesteps**, **Demographic_Coverage**, **Trigger_Condition_List**, **Node_Property_Restrictions**, **Property_Restrictions**, **Property_Restrictions_Within_Node**, **Target_Demographic**, **Target_Age_Min**, **Target_Age_Max**, **Target_Gender**, **Target_Residents_Only**, **Targeting_Config**. See [example](../json/campaign-incidenceeventcoordinator-incidence-counter.json)."
Node_Property_Restrictions,array of json objects,NA,NA,[],"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that the node in which the individual is currently located must have in order to be targeted for the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. You can specify AND and OR combinations of key:value pairs with this parameter. See [example](../json/common-node-property-restrictions.json). Located within **Incidence_Counter**."
Number_Repetitions,integer,-1,10000,1,"The number of times the count-respond cycle repeats, used with **Timesteps_Between_Repetitions**. A value of -1 implies an infinite number of repetitions."
Property_Restrictions,array of strings,NA,NA,[],"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be counted by the **Incidence_Counter**. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same counter. See [example](../json/common-property-restrictions.json). Located within **Incidence_Counter**."
Property_Restrictions_Within_Node,array of json objects,NA,NA,[],"A list of JSON objects where each object has Individual Property (IP) Keys as JSON keys and IP Values as JSON values (like 'Risk' : 'HIGH'). The values in the object are AND'd together while the objects are OR'd together. An individual's IP values must meet the logic in order to be counted. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. See [example](../json/common-property-restrictions-within-node.json). Located within **Incidence_Counter**."
Responder,json object,NA,NA,NA,"A JSON object specifying the actions to take when the counting period completes. Contains the following parameters: **Threshold_Type**, **Action_List** (which in turn contains **Threshold**, **Event_To_Broadcast**, **Event_Type**). See [example](../json/campaign-incidenceeventcoordinator-responder.json)."
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,"The age, in years, of an individual being considered must be less than or equal to this value in order to be counted. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender. Located within **Incidence_Counter**."
