Parameter,Type,Min,Max,Default,Description,Example
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-migrateindividuals-disqualifying-properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-migrateindividuals-dont-allow-duplicates.json)
Duration_At_Node_Constant,float,0,3.40282E+38,-1,"The duration at the destination node to use for all individuals, in days, when **Duration_At_Node_Distribution** is set to CONSTANT_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-constant.json)
Duration_At_Node_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the duration of time an individual or family spends at a destination node after intervention-based migration. Each assigned value is a random draw from the distribution.
Possible values are:
NOT_INITIALIZED
    No distribution set. 
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Duration_At_Node_Constant**.
UNIFORM_DISTRIBUTION
    Use a uniform distribution with a given minimum and maximum. Set **Duration_At_Node_Max** and **Duration_At_Node_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is Gaussian (or normal). Values are resampled to ensure >= 0. Set **Duration_At_Node_Gaussian_Mean** and **Duration_At_Node_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is exponential with a given mean. Set **Duration_At_Node_Exponential**.
WEIBULL_DISTRIBUTION
    Use a Weibull distribution with a given shape and scale. Set **Duration_At_Node_Kappa** and **Duration_At_Node_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a log-normal distribution with a given mean and standard deviation of the natural log. Set **Duration_At_Node_Log_Normal_Mu** and **Duration_At_Node_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a Poisson distribution with a given mean. Set **Duration_At_Node_Poisson_Mean**. 
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Duration_At_Node_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two exponential distributions with given means. Set **Duration_At_Node_Mean_1**, **Duration_At_Node_Mean_2**, and **Duration_At_Node_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-distribution.json)
Duration_At_Node_Exponential,float,0,3.40282E+38,-1,"The mean of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-exponential.json)
Duration_At_Node_Gaussian_Mean,float,0,3.40282E+38,-1,"The mean of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-gaussian-mean.json)
Duration_At_Node_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,"The standard deviation of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to GAUSSIAN_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-gaussian-std-dev.json)
Duration_At_Node_Kappa,float,1.17549E-38,3.40282E+38,-1,"The shape value for the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-kappa.json)
Duration_At_Node_Lambda,float,1.17549E-38,3.40282E+38,-1,"The scale value for the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-lambda.json)
Duration_At_Node_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The mean of the natural log of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-log-normal-mu.json)
Duration_At_Node_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The standard deviation of the natural log of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-log-normal-sigma.json)
Duration_At_Node_Max,float,0,3.40282E+38,-1,"The maximum duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-max.json)
Duration_At_Node_Mean_1,float,1.17549E-38,3.40282E+38,-1,"The mean of the first exponential distribution, in days, when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-mean-1.json)
Duration_At_Node_Mean_2,float,1.17549E-38,3.40282E+38,-1,"The mean of the second exponential distribution, in days, when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-mean-2.json)
Duration_At_Node_Min,float,0,3.40282E+38,-1,"The minimum duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-min.json)
Duration_At_Node_Peak_2_Value,float,0,3.40282E+38,-1,"The duration at the destination node value, in days, to assign to the remaining individuals when **Duration_At_Node_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-peak-2-value.json)
Duration_At_Node_Poisson_Mean,float,0,3.40282E+38,-1,"The mean of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to POISSON_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-at-node-poisson-mean.json)
Duration_At_Node_Proportion_0,float,0,1,-1,The proportion of individuals to assign a value of zero days at the destination node when **Duration_At_Node_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,[link](../json/campaign-migrateindividuals-duration-at-node-proportion-0.json)
Duration_At_Node_Proportion_1,float,0,1,-1,The proportion of individuals in the first exponential distribution when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-migrateindividuals-duration-at-node-proportion-1.json)
Duration_Before_Leaving_Constant,float,0,3.40282E+38,-1,"The duration before leaving the origin node to use for every individual, in days, when **Duration_Before_Leaving_Distribution** is set to CONSTANT_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-constant.json)
