Parameter,Type,Min,Max,Default,Description
Action_List,array of json objects,NA,NA,[],"An array specifying a list of possible actions (JSON objects with parameters **Threshold**, **Event_Type**, **Event_To_Broadcast**) to take if a particular threshold is met. An action is taken when the specified threshold value is less than or equal to the incidence value. If there are multiple actions listed, then the action with the highest threshold value that is still less than or equal to the incidence value is selected. The list cannot be empty. See [example](../json/campaign-surveillanceeventcoordinator-action-list.json). Located within **Responder**."
Coordinator_Name,string,NA,NA,SurveillanceEventCoordinator,"The name of the event coordinator, which is useful in output reports such as ReportCoordinatorEventRecorder.csv and ReportSurveillanceEventRecorder.csv. EMOD does not ensure that this name is unique. It is up to the user."
Count_Events_For_Num_Timesteps,integer,1,2147480000,1,"The number of simulation timesteps over which to count events before notifying the **Responder** with the accumulated count. Located within **Incidence_Counter**."
Counter_Event_Type,enum,NA,NA,INDIVIDUAL,"Type of events that can be included in **Trigger_Condition_List**. Possible values are:<br>* INDIVIDUAL -- individual-level events from **Custom_Individual_Events** or built-in events<br>* NODE -- node-level events from **Custom_Node_Events**<br>* COORDINATOR -- coordinator-level events from **Custom_Coordinator_Events**<br>Located within **Incidence_Counter**."
Counter_Period,float,1,1000,1,"When **Counter_Type** is set to PERIODIC, this is the counting period in days. At the end of each period, the accumulated count is passed to the **Responder** and counting restarts for the next period. Located within **Incidence_Counter**."
Counter_Type,enum,NA,NA,PERIODIC,"Counter type used for surveillance of events. The counter is triggered by events in **Start_Trigger_Condition_List** and stops when it receives an event in **Stop_Trigger_Condition_List** or the listening duration expires. The only currently supported value is:<br>* PERIODIC -- Once triggered, events are counted during each period (in days) as set in **Counter_Period**. At the end of the period, the counter notifies **Responder** with accumulated data and then starts counting again. This continues until stopped or the **Duration** expires. For example, if **Duration** is 45 days, **Counter_Period** is 30, and the counter is triggered on day 20, it will never complete the counter period and trigger the responder.<br>Located within **Incidence_Counter**."
Demographic_Coverage,float,0,1,1,"The fraction of individuals in the target demographic whose events are counted. Located within **Incidence_Counter**."
Duration,float,-1,3.40282e+38,-1,"The number of days from when the coordinator was created by the campaign event. Once the number of days has passed, the coordinator will unregister for events and expire. A value of -1 (the default) keeps the coordinator running indefinitely."
Event_Type,enum,NA,NA,INDIVIDUAL,"The type of event to be broadcast when an action is selected. Possible values are:<br>* INDIVIDUAL -- broadcast to individuals in the nodes<br>* NODE -- broadcast as a node-level event<br>* COORDINATOR -- broadcast as a coordinator-level event<br>Located within each object in **Action_List**."
Incidence_Counter,json object,NA,NA,NA,"A JSON object specifying the conditions and parameters for counting incidence. Uses the IncidenceCounterSurveillance type which adds periodic counting to the base IncidenceCounter. Contains: **Counter_Type**, **Counter_Period**, **Counter_Event_Type**, **Count_Events_For_Num_Timesteps**, **Trigger_Condition_List**, **Demographic_Coverage**, **Target_Demographic**, **Target_Age_Min**, **Target_Age_Max**, **Target_Gender**, **Target_Residents_Only**, **Targeting_Config**, **Node_Property_Restrictions**, **Property_Restrictions**, **Property_Restrictions_Within_Node**. See [example](../json/campaign-surveillanceeventcoordinator-incidence-counter.json)."
