Parameter,Type,Min,Max,Default,Description,Example
"Coordinator_Name","string","NA","NA","VectorSurveillanceEventCoordinator","The name of the event coordinator, which is useful in output reports such as ReportCoordinatorEventRecorder.csv and ReportSurveillanceEventRecorder.csv. EMOD does not ensure that this name is unique.",".. code-block:: json

    {
      ""Coordinator_Name"": ""Vector_Surveillance_1""
    }
"
"Count_Type","enum","NA","NA","ALLELE_FREQ","The attribute to count in the mosquitoes being sampled. Possible values are:

ALLELE_FREQ
    Calculates the frequency of every allele in the sampled population. This accounts for the occurrences of the allele where there can be two per vector (i.e. you can get 0, 1, or 2 from each vector).
GENOME_FRACTION
    Calculates the fraction of each (grouped by similar) genome in the sampled population.",".. code-block:: json

    {
      ""Counter"": {
        ""Count_Type"": ""ALLELE_FREQ"",
        ""Species"": ""gambiae"",
        ""Gender"": ""VECTOR_FEMALE"",
        ""Sample_Size_Distribution"": ""CONSTANT_DISTRIBUTION"",
        ""Sample_Size_Constant"": 100,
        ""Update_Period"": 30
      }
    }
"
"Counter","json object","NA","NA","NA","Configuration dictionary of the sampling parameters for the vector population. This object uses the **VectorCounter** type which includes parameters for species, gender, count type, sample size, and update period.",".. code-block:: json

    {
      ""Counter"": {
        ""Count_Type"": ""ALLELE_FREQ"",
        ""Species"": ""gambiae"",
        ""Gender"": ""VECTOR_FEMALE"",
        ""Sample_Size_Distribution"": ""CONSTANT_DISTRIBUTION"",
        ""Sample_Size_Constant"": 100,
        ""Update_Period"": 30
      }
    }
"
"Duration","float","-1","3.40282E+38","-1","The number of days from the creation of the coordinator until coordinator expires. Once this number of days has passed, the event coordinator will unregister for events and expire. A value of -1 (the default) keeps the coordinator running indefinitely.",".. code-block:: json

    {
      ""Duration"": -1
    }
"
"Gender","enum","NA","NA","VECTOR_FEMALE","The sex of the vectors to sample. Possible values are:

* VECTOR_MALE
* VECTOR_FEMALE
* VECTOR_BOTH_GENDERS",".. code-block:: json

    {
      ""Counter"": {
        ""Gender"": ""VECTOR_BOTH_GENDERS"",
        ""Species"": ""gambiae"",
        ""Count_Type"": ""ALLELE_FREQ"",
        ""Sample_Size_Distribution"": ""CONSTANT_DISTRIBUTION"",
        ""Sample_Size_Constant"": 100,
        ""Update_Period"": 30
      }
    }
"
"Responder","json object","NA","NA","NA","A JSON object for specifying additional parameters on how the coordinator reacts to the counting of the vectors. This is in addition to the coordinator broadcasting the coordinator events returned by the user's Python code.",".. code-block:: json

    {
      ""Responder"": {
        ""Survey_Completed_Event"": ""Survey_Done""
      }
    }
"
"Sample_Size_Constant","float","0","3.40282E+38","6","The number of vectors to sample when **Sample_Size_Distribution** is set to CONSTANT_DISTRIBUTION. If the population is less than this number, then the entire population will be selected.",".. code-block:: json

    {
      ""Counter"": {
        ""Sample_Size_Distribution"": ""CONSTANT_DISTRIBUTION"",
        ""Sample_Size_Constant"": 100
      }
    }
"
"Sample_Size_Distribution","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for determining the number of vectors in the sample for each sampling. If the population is less than the drawn number, then the entire population will be selected.

Possible values are:

NOT_INITIALIZED
    No distribution set.
CONSTANT_DISTRIBUTION
    Use the same value for each sampling. Set **Sample_Size_Constant**.
UNIFORM_DISTRIBUTION
    Use a `uniform`_ distribution with a given minimum and maximum. Set **Sample_Size_Max** and **Sample_Size_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Sample_Size_Gaussian_Mean** and **Sample_Size_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is `exponential`_ with a given mean. Set **Sample_Size_Exponential**.
WEIBULL_DISTRIBUTION
    Use a `Weibull`_ distribution with a given shape and scale. Set **Sample_Size_Kappa** and **Sample_Size_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a `log-normal`_ distribution with a given mean and width. Set **Sample_Size_Log_Normal_Mu** and **Sample_Size_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a `Poisson`_ distribution with a given mean. Set **Sample_Size_Poisson_Mean**.
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some instances are set to a value of zero and the rest to a given value. Set **Sample_Size_Proportion_0** and **Sample_Size_Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two `exponential`_ distributions with given means. Set **Sample_Size_Mean_1**, **Sample_Size_Mean_2**, and **Sample_Size_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.

.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution

.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution

.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution

.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution

.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)

.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution

",".. code-block:: json

    {
      ""Counter"": {
        ""Sample_Size_Distribution"": ""CONSTANT_DISTRIBUTION"",
        ""Sample_Size_Constant"": 100
      }
    }
"
"Sample_Size_Exponential","float","0","3.40282E+38","6","The mean sample size when **Sample_Size_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Counter"": {
        ""Sample_Size_Distribution"": ""EXPONENTIAL_DISTRIBUTION"",
        ""Sample_Size_Exponential"": 50
      }
    }
"
"Sample_Size_Gaussian_Mean","float","0","3.40282E+38","6","The mean sample size when **Sample_Size_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Counter"": {
        ""Sample_Size_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
        ""Sample_Size_Gaussian_Mean"": 100,
        ""Sample_Size_Gaussian_Std_Dev"": 20
      }
    }
"
