Parameter,Type,Min,Max,Default,Description,Example
Air_Temperature_Filename,string,NA,NA,\_add-your-air-temperature-file\_.bin,The path to the input file that defines air temperature data measured two meters above ground. **Climate_Model** must be set to CLIMATE_BY_DATA. The file must be in .bin format.,[link](../json/config-env-malaria-air-temperature-filename.json)
Air_Temperature_Offset,float,-20,20,0,The linear shift of air temperature in degrees Celsius. **Climate_Model** must be set to CLIMATE_BY_DATA.,[link](../json/config-env-malaria-air-temperature-offset.json)
Air_Temperature_Variance,float,0,-16,2,The standard deviation (in degrees Celsius) for normally distributed noise applied to the daily air temperature values when **Climate_Model** is configured as CLIMATE_CONSTANT or CLIMATE_BY_DATA. **Enable_Climate_Stochasticity** must be set to true (1).,[link](../json/config-env-malaria-air-temperature-variance.json)
Base_Air_Temperature,float,-55,45,22,"The air temperature, in degrees Celsius, where **Climate_Model** is set to CLIMATE_CONSTANT.",[link](../json/config-env-malaria-base-air-temperature.json)
Base_Land_Temperature,float,-55,60,26,"The land temperature, in degrees Celsius, where **Climate_Model** is set to CLIMATE_CONSTANT.",[link](../json/config-env-malaria-base-land-temperature.json)
Base_Rainfall,float,0,150,10,The value of rainfall per day in millimeters when **Climate_Model** is set to CLIMATE_CONSTANT.,[link](../json/config-env-malaria-base-rainfall.json)
Base_Relative_Humidity,float,0,1,0.75,The value of humidity where **Climate_Model** is set to CLIMATE_CONSTANT.,[link](../json/config-env-malaria-base-relative-humidity.json)
Climate_Model,enum,NA,NA,CLIMATE_OFF,"How and from what files the climate of a simulation is configured. The possible values are: <br>CLIMATE_OFF<br>    No climate files used.  <br>CLIMATE_CONSTANT<br>    Uses the conditional parameters that give the fixed values of temperature or rain for land temperature, air temperature, rainfall, and humidity. <br>CLIMATE_KOPPEN<br>    Uses an input file that decodes Koppen codes by geographic location. <br>CLIMATE_BY_DATA<br>    Reads everything out of several input files with additional parameters that allow the addition of stochasticity or scale offsets.",[link](../json/config-env-malaria-climate-model.json)
Climate_Update_Resolution,enum,NA,NA,CLIMATE_UPDATE_YEAR,"The  resolution of data in climate files. **Climate_Model** must be set to CLIMATE_CONSTANT, CLIMATE_BY_DATA, or CLIMATE_KOPPEN.<br>Possible values are: <br>CLIMATE_UPDATE_YEAR<br>CLIMATE_UPDATE_MONTH<br>CLIMATE_UPDATE_WEEK<br>CLIMATE_UPDATE_DAY<br>CLIMATE_UPDATE_HOUR ",[link](../json/config-env-malaria-climate-update-resolution.json)
Default_Geography_Initial_Node_Population,integer,0,1000000,1000,"When using the built-in demographics for default geography, the initial number of individuals in each node. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. **Enable_Demographics_Builtin** must be set to true (1).",[link](../json/config-env-malaria-default-geography-initial-node-population.json)
Default_Geography_Torus_Size,integer,3,100,10,"When using the built-in demographics for default geography, the square root of the number of nodes in the simulation. The simulation uses an N x N square grid of nodes with N specified by this parameter. If migration is enabled, the N x N nodes are assumed to be a torus and individuals can migrate from any node to all four adjacent nodes. <br>To enable migration, set **Migration_Model** to FIXED_RATE_MIGRATION. Built-in migration is a form of ""local"" migration where individuals only migrate to the adjacent nodes. You can use the **x_Local_Migration** parameter to control the rate of migration. The other migration parameters are ignored. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. <br>**Enable_Demographics_Builtin** must be set to true (1).",[link](../json/config-env-malaria-default-geography-torus-size.json)
