Parameter,Type,Min,Max,Default,Description,Example
Air_Migration_Filename,string,NA,NA,"""""",The path to the input file that defines patterns of migration by airplane. **Enable_Air_Migration** must be set to true (1). See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-input-malaria-air-migration-filename.json)
Air_Temperature_Filename,string,NA,NA,\_add-your-air-temperature-file\_.bin,The path to the input file that defines air temperature data measured two meters above ground. **Climate_Model** must be set to CLIMATE_BY_DATA. The file must be in .bin format.,[link](../json/config-input-malaria-air-temperature-filename.json)
Campaign_Filename,string,NA,NA, ,The path to the campaign file. It is required when interventions are part of the simulation and **Enable_Interventions** is set to true (1). The file must be in .json format.,[link](../json/config-input-malaria-campaign-filename.json)
Demographics_Filename,string,NA,NA,UNINITIALIZED STRING,DEPRECATED: Path of demographics file containing information on the identity and demographics of the region to simulate. Use **Demographics_Filenames** instead. ,
Demographics_Filenames,array of strings,NA,NA,[],An array of the paths to demographics files containing information on the identity and demographics of the region to simulate. The files must be in .json format. Note that this parameter is only required when **Enable_Demographics_Builtin** is set to 0.,[link](../json/config-input-malaria-demographics-filenames.json)
Family_Migration_Filename,string,NA,NA,"""""",The name of the binary file to use to configure family migration. **Enable_Family_Migration** must be set to true (1). See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-input-malaria-family-migration-filename.json)
Koppen_Filename,string,NA,NA,\_add-your-koppen-climate-file\_.json,The path to the input file used to specify Koppen climate classifications. **Climate_Model** must be set to CLIMATE_KOPPEN. ,[link](../json/config-input-malaria-koppen-filename.json)
Land_Temperature_Filename,string,NA,NA,\_add-your-land-temp-file\_.bin,The path of the input file defining temperature data measured at land surface; used only when **Climate_Model** is set to CLIMATE_BY_DATA. The file must be in .bin format.,[link](../json/config-input-malaria-land-temperature-filename.json)
Load_Balance_Filename,string,NA,NA,UNINITIALIZED STRING,The path to the input file used when a static load balancing scheme is selected. The file must be in .json format.,[link](../json/config-input-malaria-load-balance-filename.json)
Local_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration to adjacent nodes by foot travel. See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-input-malaria-local-migration-filename.json)
Rainfall_Filename,string,NA,NA,\_add-your-rainfall-file\_.bin,The path of the input file which defines rainfall data. **Climate_Model** must be set to CLIMATE_BY_DATA. The file must be in .bin format.,[link](../json/config-input-malaria-rainfall-filename.json)
Regional_Migration_Filename,string,NA,NA,"""""","The path of the input file which defines patterns of migration by vehicle via road or rail network. If the node is not on a road or rail network, regional migration focuses on the closest hub city in the network. The file must be in .bin format. See [Migration files](software-migration.md) for information on migration files.",[link](../json/config-input-malaria-regional-migration-filename.json)
Relative_Humidity_Filename,string,NA,NA,\_add-your-relative-humidity-file\_\_hum.bin,The path of the input file which defines relative humidity data measured 2 meters above ground. **Climate_Model** must be set to CLIMATE_BY_DATA. The file must be in .bin format.,[link](../json/config-input-malaria-relative-humidity-filename.json)
Sea_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration by ship. Only used when **Enable_Sea_Migration** is set to true (1). The file must be in .bin format. See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-input-malaria-sea-migration-filename.json)
Serialized_Population_Filenames,array of strings,NA,NA,NA,An array of filenames with serialized population data. The number of filenames must match the number of cores used for the simulation. The files must be in .dtk format. Serialized population files are created using **Serialization_Time_Steps**.,[link](../json/config-input-malaria-serialized-population-filenames.json)
Serialized_Population_Path,string,NA,NA,.,The root path for the serialized population files. Serialized population files are created using **Serialization_Time_Steps**.,[link](../json/config-input-malaria-serialized-population-path.json)
Vector_Migration_Filename_Local,string,NA,NA,UNSPECIFIED_FILE,The path to the vector migration file which defines patterns of vector migration to adjacent nodes. **Enable_Vector_Migration** must be set to 1. The file must be in .bin format.,[link](../json/config-input-malaria-vector-migration-filename-local.json)
Vector_Migration_Filename_Regional,string,NA,NA,UNSPECIFIED_FILE,The path to the vector migration file which defines patterns of vector migration to non-adjacent nodes. **Enable_Vector_Migration** must be set to 1. The file must be in .bin format.,[link](../json/config-input-malaria-vector-migration-filename-regional.json)
