Parameter,Type,Min,Max,Default,Description
Aquatic_Arrhenius_1,float,0,1.00E+15,8.42E+10,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of mosquito aquatic development (egg-hatching through emergence). This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on development rate."
Aquatic_Arrhenius_2,float,0,1.00E+15,8328,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of mosquito aquatic development (egg-hatching through emergence). This duration is a decreasing function of temperature.  The variable a2 governs how quickly the rate changes with temperature."
Aquatic_Mortality_Rate,float,0,1,0.1,The base aquatic mortality per day for the species before adjusting for effects of overpopulation and drying out of aquatic habitat.
Drought_Egg_Hatch_Delay,float,0,1,0.33,Proportion of regular egg hatching that still occurs when habitat dries up. **Enable_Drought_Egg_Hatch_Delay** must be set to 1.
Egg_Arrhenius1,float,0,1.00E+10,6.16E+07,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1."
Egg_Arrhenius2,float,0,1.00E+10,5754.03,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a2 is a temperature-dependent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1."
Egg_Hatch_Density_Dependence,enum,NA,NA,NO_DENSITY_DEPENDENCE,The effect of larval density on egg hatching rate. Possible values are: <br>DENSITY_DEPENDENCE<br>   Egg hatching is reduced when the habitat is nearing its carrying capacity.<br>NO_DENSITY_DEPENDENCE<br>   Egg hatching is not dependent upon larval density.
Egg_Saturation_At_Oviposition,enum,NA,NA,NO_SATURATION,"If laying all eggs from ovipositing females would overflow the larval habitat capacity on a given day, the means by which the viable eggs become saturated.  Possible values are: <br>NO_SATURATION<br>    Egg number does not saturate; all eggs are laid.<br>SATURATION_AT_OVIPOSITION<br>    Eggs are saturated at oviposition; habitat is filled to capacity and excess eggs are discarded.<br>SIGMOIDAL_SATURATION<br>    Eggs are saturated along a sigmoidal curve; proportionately fewer eggs are laid depending on how oversubscribed the habitat would be."
Enable_Drought_Egg_Hatch_Delay,boolean,0,1,0,"Controls whether or not eggs hatch at delayed rates, set by **Drought_Egg_Hatch_Delay**, when the habitat dries up completely."
Enable_Egg_Mortality,boolean,0,1,0,"Controls whether or not to include a daily mortality rate on the egg population, which is independent of climatic factors. "
Enable_Temperature_Dependent_Egg_Hatching,boolean,0,1,0,"Controls whether or not temperature has an effect on egg hatching, defined by **Egg_Arrhenius_1** and **Egg_Arrhenius_2**."
