Parameter,Type,Min,Max,Default,Description,Example
Air_Migration_Filename,string,NA,NA,"""""",The path to the input file that defines patterns of migration by airplane. **Enable_Air_Migration** must be set to true (1). See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-migration-malaria-air-migration-filename.json)
Air_Migration_Roundtrip_Duration,float,0,10000,1,The average time spent (in days) at the destination node during a round-trip migration by airplane. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.,[link](../json/config-migration-malaria-air-migration-roundtrip-duration.json)
Air_Migration_Roundtrip_Probability,float,0,1,0.8,The likelihood that an individual who flies to another node will return to the node of origin during the next migration. **Enable_Air_Migration** must be set to true (1).,[link](../json/config-migration-malaria-air-migration-roundtrip-probability.json)
Enable_Air_Migration,boolean,0,1,0,Controls whether or not migration by air travel will occur. **Migration_Model** must be set to FIXED_RATE_MIGRATION.,[link](../json/config-migration-malaria-enable-air-migration.json)
Enable_Family_Migration,boolean,0,1,0,Controls whether or not all members of a household can migrate together when a MigrateFamily event occurs. All residents must be home before they can leave on the trip. **Migration_Model** must be set to FIXED_RATE_MIGRATION.,[link](../json/config-migration-malaria-enable-family-migration.json)
Enable_Local_Migration,boolean,0,1,0,Controls whether or not local migration (the diffusion of people in and out of nearby nodes by foot travel) occurs. **Migration_Model** must be set to FIXED_RATE_MIGRATION.,[link](../json/config-migration-malaria-enable-local-migration.json)
Enable_Migration_Heterogeneity,boolean,0,1,1,"Controls whether or not migration rate is heterogeneous among individuals within each group that has a migration rate setting. Set to true (1) to apply a migration rate distribution (see [NodeAttributes](parameter-demographics.md#nodeattributes) demographics parameters); set to false (0) to use the same migration rate applied to all individuals in the group. For example, if you are using a migration file that sets different migration rates for each age group in a node, you could apply an Gaussian distribution around a mean value in each age group or you could assign the same value to each individual in each age group. <br>**Migration_Model** must be set to FIXED_RATE_MIGRATION.",[link](../json/config-migration-malaria-enable-migration-heterogeneity.json)
Enable_Regional_Migration,boolean,0,1,0,Controls whether or not there is migration by road or rail network into and out of nodes in the simulation. **Migration_Model** must be set to FIXED_RATE_MIGRATION. ,[link](../json/config-migration-malaria-enable-regional-migration.json)
Enable_Sea_Migration,boolean,0,1,0,Controls whether or not there is migration on ships into and out of coastal cities with seaports. **Migration_Model** must be set to FIXED_RATE_MIGRATION.,[link](../json/config-migration-malaria-enable-sea-migration.json)
Family_Migration_Filename,string,NA,NA,"""""",The name of the binary file to use to configure family migration. **Enable_Family_Migration** must be set to true (1). See [Migration files](software-migration.md) for information on migration files.,[link](../json/config-migration-malaria-family-migration-filename.json)
