Parameter,Type,Min,Max,Default,Description,Example
"﻿""Adult_Life_Expectancy""",float,0,730,10,"The number of days an adult mosquito survives. The daily adult mortality rate is 1 / **Adult_Life_Expectancy**, in absence of vector aging. With **Enable_Vector_Aging** set to 1, **Adult_Life_Expectancy** equal to 20 days corresponds to a mean adult female mosquito lifespan of 9-9.5 days in calibrated settings. The senescence formula that |EMOD_s| uses was described by `Styer, et al <https://www.ncbi.nlm.nih.gov/pubmed/17255238>`.",[link](../json/config-vector-lifecycle-malaria-adult-life-expectancy.json)
Anthropophily,float,0,1,1,"Mosquito preference for humans over animals, measured as a fraction of blood meals from human hosts. This dimensionless propensity is important in differentiating between mosquito species.",[link](../json/config-vector-lifecycle-malaria-anthropophily.json)
Cycle_Arrhenius_1,float,0,1.00E+15,4.09E+10,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the mosquito feeding cycle rate. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on feeding rate. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",[link](../json/config-vector-lifecycle-malaria-cycle-arrhenius-1.json)
Cycle_Arrhenius_2,float,0,1.00E+15,7740,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the mosquito feeding cycle rate. This duration is a decreasing function of temperature.  The variable a2 is a temperature-independent scale factor on feeding rate. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",[link](../json/config-vector-lifecycle-malaria-cycle-arrhenius-2.json)
Cycle_Arrhenius_Reduction_Factor,float,0,1,1,The scale factor applied to cycle duration (from oviposition to oviposition) to reduce the duration when primary follicles are at stage II rather than I in the case of newly emerged females. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.,[link](../json/config-vector-lifecycle-malaria-cycle-arrhenius-reduction-factor.json)
Days_Between_Feeds,float,0,730,2,"The number of days between female mosquito feeding attempts. In the cohort model, this value is converted to a feeding rate, equal to  1/(value of this parameter), and is used to determine the probability that one of each of the various feeding modes (animal host, human host, indoor, outdoor, etc) occurs. In the individual model, this parameter determines the number of days a vector waits between feeds. ",[link](../json/config-vector-lifecycle-malaria-days-between-feeds.json)
Drought_Egg_Hatch_Delay,float,0,1,0.33,Proportion of regular egg hatching that still occurs when habitat dries up. **Enable_Drought_Egg_Hatch_Delay** must be set to 1.,[link](../json/config-vector-lifecycle-malaria-drought-egg-hatch-delay.json)
Egg_Arrhenius1,float,0,1.00E+10,6.16E+07,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",[link](../json/config-vector-lifecycle-malaria-egg-arrhenius1.json)
Egg_Arrhenius2,float,0,1.00E+10,5754.03,"The Arrhenius equation, $a_1^{-a_2/T}$, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a2 is a temperature-dependent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",[link](../json/config-vector-lifecycle-malaria-egg-arrhenius2.json)
Egg_Batch_Size,float,0,10000,100,"Number of eggs laid by one female mosquito that has fed successfully. The value of **Egg_Batch_Size** is used for both the number of female eggs and for the number of male eggs. For example, the default value of 100 means that there are 100 female eggs and 100 male eggs.",[link](../json/config-vector-lifecycle-malaria-egg-batch-size.json)
