SporozoiteToHuman_Time,SporozoiteToHuman_NodeID,SporozoiteToHuman_VectorID,SporozoiteToHuman_BiteID,SporozoiteToHuman_HumanID,SporozoiteToHuman_NewInfectionID,SporozoiteToHuman_NewGenomeID,HomeNodeID,GametocyteToVector_Time,GametocyteToVector_NodeID,GametocyteToVector_VectorID,GametocyteToVector_BiteID,GametocyteToVector_HumanID,FemaleGametocyteToVector_InfectionID,FemaleGametocyteToVector_GenomeID,MaleGametocyteToVector_InfectionID,MaleGametocyteToVector_GenomeID
144,340461476,87041,259801,995,21,10,340461476,126,340461476,87041,214221,391,5,10,5,10
146,340461476,89151,264739,269,22,4,340461476,128,340461476,89151,219021,234,2,4,2,4
146,340461476,89043,265052,307,23,2,340461476,128,340461476,89043,219322,151,1,2,1,2
147,340461476,87041,267498,59,24,10,340461476,126,340461476,87041,214221,391,5,10,5,10
147,340461476,83540,268831,638,25,2,340461476,129,340461476,83540,223200,151,1,2,1,2
147,340461476,78028,268224,775,26,16,340461476,129,340461476,78028,222559,732,8,16,8,16
148,340461476,67511,270334,800,27,22,340461476,130,340461476,67511,224640,72,11,22,11,22
149,340461476,76880,273618,217,28,10,340461476,128,340461476,76880,220281,391,5,10,5,10
149,340461476,92056,272405,250,29,32,340461476,131,340461476,92056,226692,549,16,32,16,32
149,340461476,77455,272243,447,30,8,340461476,131,340461476,77455,226517,381,4,8,4,8
149,340461476,94895,272637,922,31,22,340461476,131,340461476,94895,226930,72,11,22,11,22
149,340461476,89043,272674,976,32,2,340461476,128,340461476,89043,219322,151,1,2,1,2
149,340461476,89151,272378,987,33,4,340461476,128,340461476,89151,219021,234,2,4,2,4
150,340461476,93152,274679,70,34,12,340461476,132,340461476,93152,228859,398,6,12,6,12
150,340461476,93023,275047,192,35,16,340461476,129,340461476,93023,221667,732,8,16,8,16
150,340461476,83808,275775,249,36,2,340461476,132,340461476,83808,229975,151,1,2,1,2
150,340461476,92732,275663,557,37,40,340461476,132,340461476,92732,229866,961,20,40,20,40
150,340461476,92602,275983,587,38,38,340461476,132,340461476,92602,230196,758,19,38,19,38
